Part No.,Part description,Group number,Group name
RM720623,34mm Soft Convex,AG-00003,Finished Goods
RM720624,41mm Soft Convex,AG-00003,Finished Goods
RM720626,58mm Soft Convex,AG-00003,Finished Goods
RM720622,27mm Soft Convex,AG-00003,Finished Goods
7530Q0047,Cam,AG-00003,Finished Goods
7905Q0150,Liner Slot,AG-00003,Finished Goods
8-718-691-372,Adaptor Cap Sensor,AG-00003,Finished Goods
8375Q0292,Spacer,AG-00003,Finished Goods
TRISERT 237 M6,Brass Insert,AG-00002,Bought Outs
8716-106-024,Safety Straps - 53001638,AG-00003,Finished Goods
7904Q0301,Housing Bearing,AG-00003,Finished Goods
7530Q0060,Cam Plate Coated,AG-00003,Finished Goods
8-718-661-942,Adaptor Flow Sensor Body,AG-00003,Finished Goods
7905Q0201,Liner Slot,AG-00003,Finished Goods
8-718-695-390,Strain Relief,AG-00003,Finished Goods
ZU0384,Steel Rollers 1mm x 7.8mm,AG-00022,Obsolete Part
8-718-690-276,Body Silencer,AG-00003,Finished Goods
8-718-654-154,Flap,AG-00003,Finished Goods
8-718-689-725,Bush - 53001527,AG-00003,Finished Goods
7530Q0054,Cam Sintered Insert,AG-00002,Bought Outs
8718-225-374,Cover diverter valve  - 53001640,AG-00003,Finished Goods
8-718-693-121,Knob Switch HDU,AG-00003,Finished Goods
OC-042,LED Window for AGD625 Enclosure,AG-00003,Finished Goods
8-718-680-784,Panel Bush - 53001624,AG-00003,Finished Goods
9SXXH092,Body,AG-00003,Finished Goods
8-718-654-059,Cover Plux,AG-00003,Finished Goods
8-718-693-122,Light Pipe HDU Control Box,AG-00003,Finished Goods
5113533,Washer Seal,AG-00002,Bought Outs
TRISERT 237 M5,Brass Insert,AG-00002,Bought Outs
V1-00252,Viva Cell 100 Vessel,AG-00003,Finished Goods
8716-105-097,Valve Spindle Knob,AG-00003,Finished Goods
V1-00254,Vivacell 100 Sleeve,AG-00003,Finished Goods
8716-111-797,Cap Sensor Adaptor - 53001865,AG-00003,Finished Goods
8716-141-238,Clamping Bar - 53001626,AG-00003,Finished Goods
9SXXH093,Actuating Arm,AG-00003,Finished Goods
FTC-B-M6,Brass Flow-Tech Insert M6,AG-00022,Obsolete Part
ESCORENE ULTRA EVA FL00218,Escorene Ultra EVA FL00218,AG-00001,Raw Materials
8716-106-937,Harness Clip - 53001664,AG-00003,Finished Goods
8716-112-491,Flow Sensor Adaptor with Thread - 53001866,AG-00003,Finished Goods
RYN545 NC10,PET,AG-00001,Raw Materials
9SXXH121,Protection Cap,AG-00003,Finished Goods
8-716-113-851,O-Ring i/d 32.92 x 3.53,AG-00002,Bought Outs
5109543,Washer 24mm x 19mm,AG-00003,Finished Goods
8-718-689-823,Elbow Flue Cowl Manifold,AG-00003,Finished Goods
27511009,Insert Moulding for Modular 2,AG-00003,Finished Goods
8718-680-450,Inlet Bottom - 53001524,AG-00003,Finished Goods
8718-681-408,Gas Sensor Connector - 53001523,AG-00003,Finished Goods
243587,Plastic Nut,AG-00003,Finished Goods
835-476-1887,Sleeve,AG-00003,Finished Goods
5113477,Plug Drain EP435- 1/2 BSP,AG-00002,Bought Outs
8-740-500-097,Membrane Disc,AG-00003,Finished Goods
027506309/A,Piston-Mould,AG-00003,Finished Goods
5110377,Gasket - Felt Pad,AG-00002,Bought Outs
3861-210,Retainer,AG-00003,Finished Goods
8-718-684-011,Cap Pump Diverter Valve - 53001531,AG-00003,Finished Goods
8-718-680-226,Grommet Expansion Vessel - 53001661,AG-00003,Finished Goods
IUPITAL F20-03,POM,AG-00001,Raw Materials
HG-112,Light Sensor Housing,AG-00003,Finished Goods
5110240,Tube Condensate Trap,AG-00002,Bought Outs
LEXAN EXL1433T-BK1B125T,PC,AG-00001,Raw Materials
ESCORENE ULTRA EVA FL00212,EVA,AG-00001,Raw Materials
8-718-695-158,Trap Body,AG-00003,Finished Goods
GRIVORY HT1V-4FWA 9225 BLACK,NYLON PA6,AG-00001,Raw Materials
3887-266,Cap,AG-00022,Obsolete Part
1/30065,Bush,AG-00003,Finished Goods
8-718-693-910,Clip Profile Joint - 53001643,AG-00003,Finished Goods
137250C,UNC Trisert 1/4'' Long Unheaded,AG-00002,Bought Outs
8716-105-096,Check Valve Housing,AG-00003,Finished Goods
117M4,HiMould 'B' Type Brass Inserts (Adaptor Plate),AG-00002,Bought Outs
8-718-685-916,T-Piece 18mm - 53001534,AG-00003,Finished Goods
BOREALIS BE677AI,PP,AG-00001,Raw Materials
TRIREX 3020HF,PC,AG-00001,Raw Materials
8-718-683-499,Fitting PRV - 53001528,AG-00003,Finished Goods
TRISERT 237M4,Brass Insert,AG-00002,Bought Outs
ZYT70G30 HSR2 BK,ZYT70G30 HSR2 BK,AG-00001,Raw Materials
ZYTEL FG70G30HSR3 BK309,NYLON PA66,AG-00001,Raw Materials
3852-223,Bearing,AG-00022,Obsolete Part
FTC-B-M5,Brass Flow-Tech Insert M5,AG-00002,Bought Outs
PA301G6 BK10,NYLON 6,AG-00001,Raw Materials
8-718-691-401,Cap Siphon,AG-00003,Finished Goods
CYCOLOY C2950 GREY 7T6A0587,CYCOLOY,AG-00001,Raw Materials
496-540-1887,Sleeve,AG-00003,Finished Goods
ZU0630,Thrust needle-cage,AG-00002,Bought Outs
8716-105-645,Manifold Drain,AG-00003,Finished Goods
ENFLEX VU-420-80A-T2-000 NATURAL,TPU,AG-00001,Raw Materials
8-718-695-869,Pipe - 53001545,AG-00003,Finished Goods
8718-689-147,Housing Assembly - Tank Stat,AG-00003,Finished Goods
IUPITAL F20-73R1,POM,AG-00001,Raw Materials
8-718-695-311,Cap Sealing,AG-00003,Finished Goods
P-CARB IR1900,PP,AG-00001,Raw Materials
9SXXR143,Contact Base,AG-00003,Finished Goods
ALTECH PP-H B 4930/506 MR30,PP,AG-00001,Raw Materials
RIBLENE MR10 NC,LDPE,AG-00001,Raw Materials
A3X2G7 Ultramid Nat,PA66 GF35 Natural,AG-00001,Raw Materials
NYLON 6 PB150BK10,NYLON PA6,AG-00001,Raw Materials
P/PROP- SUMIKA,D420B99S SUMIKA,AG-00001,Raw Materials
027513409,Piston EB+,AG-00003,Finished Goods
MOPLEN EP300K,PP,AG-00001,Raw Materials
HG-084,AGD 640 Front Housing,AG-00003,Finished Goods
DELRIN 500 AL,POM,AG-00001,Raw Materials
POLYFORT FPP 30GFC,PP,AG-00001,Raw Materials
WONDERLITE PC-122U,PC,AG-00001,Raw Materials
PLUSTEK PB142NTF,NYLON PA6,AG-00001,Raw Materials
8716-113-304,Expansion Vessel Adaptor,AG-00003,Finished Goods
ALC BLUE 50997,MASTER BATCH,AG-00001,Raw Materials
197-569-1721,Wiper Ring,AG-00003,Finished Goods
5110272,Condensate Tube (Cranked),AG-00002,Bought Outs
HIGH IMPACT POLYSTYRENE 7240 N,HIPS,AG-00001,Raw Materials
DEL 500 NC10,POM,AG-00001,Raw Materials
GREY HCM28545AB,MASTER BATCH,AG-00001,Raw Materials
Hostaform C9021,Hostaform C9021 Natural,AG-00001,Raw Materials
HCM28872P WINDOW GREY RAL7040,MASTER BATCH,AG-00001,Raw Materials
AT PP-B B4920/526 GY2520-13,AT PP-B B4920/526 GY2520-13,AG-00001,Raw Materials
YELLOW M/BTCH - UM1946,MASTER BATCH,AG-00001,Raw Materials
LIME GREEN 6477,MASTER BATCH,AG-00001,Raw Materials
POLYPROP PPH300G4 20GF NAT,PP,AG-00001,Raw Materials
TPX RT18XB,TPX RT18XB,AG-00001,Raw Materials
ZYT70G30HSLR NC,NYLON PA6,AG-00001,Raw Materials
HCM16202P,Pepper Red Masterbatch,AG-00001,Raw Materials
RYNITE 530 BK503,PET,AG-00001,Raw Materials
HG-081,AGD340 Rear Housing,AG-00003,Finished Goods
HCM 28870P GREEN P375C,MASTER BATCH,AG-00001,Raw Materials
INEOS PP 500-GA20,INEOS PP 500-GA20,AG-00001,Raw Materials
GREY M/BTCH UNIV AP8/1412,MASTER BATCH,AG-00001,Raw Materials
10-02718 PE-MODALEN C22A,MASTER BATCH,AG-00001,Raw Materials
GREEN 60915 FP,MASTER BATCH,AG-00001,Raw Materials
ORANGE M/BATCH 3783NF,MASTER BATCH,AG-00001,Raw Materials
PVC BSS65 COMPOUND,PVC BSS65 COMPOUND,AG-00001,Raw Materials
DOW LDPE 780E,LDPE,AG-00001,Raw Materials
VERTON RF700,NYLON 66,AG-00001,Raw Materials
RED M/BTCH NYL SP4/3222/GFN,MASTER BATCH,AG-00001,Raw Materials
8718-680-449,Inlet Upper - 53001529,AG-00003,Finished Goods
AMBER-HCM10242-PC,MASTER BATCH,AG-00001,Raw Materials
UM9B832 GREY (ACETAL),MASTER BATCH,AG-00001,Raw Materials
BLACK M/BATCH HCR982P,MASTER BATCH,AG-00001,Raw Materials
RED M/BTCH PP ROVER 1201,MASTER BATCH,AG-00001,Raw Materials
YELLOW 2387 FP,MASTER BATCH,AG-00001,Raw Materials
YELLOW CAMIUM-HCR-87-HT,MASTER BATCH,AG-00001,Raw Materials
PLEXIGLAS 8N,PMMA,AG-00001,Raw Materials
MB50-320 MASTERBATCH,MASTER BATCH,AG-00001,Raw Materials
GREEN M/BTCH NYL HCM 2910 P,MASTER BATCH,AG-00001,Raw Materials
RED-HCM17620M1-PC,RED-HCM17620M1-PC,AG-00001,Raw Materials
T RED INFRA HCM27875PC,MASTER BATCH,AG-00001,Raw Materials
YELLOW M/BATCH 20381 NF,MASTER BATCH,AG-00001,Raw Materials
BLACK HCM982VPF ACETAL,BLACK HCM982VPF ACETAL,AG-00001,Raw Materials
BLUE M/BTCH ACETAL MB/1945,BLUE M/BTCH ACETAL MB/1945,AG-00001,Raw Materials
MAKROLON 2456,MAKROLON 2456,AG-00001,Raw Materials
GREY HCM28462PA,MASTER BATCH,AG-00001,Raw Materials
ABS NOVODUR P2H-AT,ABS NOVODUR P2H-AT,AG-00001,Raw Materials
BLUE M/BTCH PP AP5/1736,MASTER BATCH,AG-00001,Raw Materials
GREEN HCM28543AB,MASTER BATCH,AG-00001,Raw Materials
FLESH PINK 32387,MASTER BATCH,AG-00001,Raw Materials
RED CADMIUM HCR-85-HT,MASTER BATCH,AG-00001,Raw Materials
YELLOW M/BTCH NYL HCM17689P,MASTER BATCH,AG-00001,Raw Materials
DEEP BLACK M/BATCH - UM0055,MASTER BATCH,AG-00001,Raw Materials
GREY M/BATCH,MASTER BATCH,AG-00001,Raw Materials
ASH GREY UM7021,MASTER BATCH,AG-00001,Raw Materials
ULT BLUE 53279,MASTER BATCH,AG-00001,Raw Materials
GREEN HCM25117MPC,MASTER BATCH,AG-00001,Raw Materials
SKY BLUE M/BTCH - UM 5001,MASTER BATCH,AG-00001,Raw Materials
WHITE DYE UM0001,MASTER BATCH,AG-00001,Raw Materials
New,Mould Tooling,AG-00008,Tooling
Shipping Costs,Shipping Costs,AG-00015,Service/Supply
4PROP 9D1330 ABK,4PROP 9D1330 ABK,AG-00001,Raw Materials
ABS AF312A-BLACK,ABS,AG-00001,Raw Materials
ABS GP35 NAT,ABS GP35 NAT,AG-00001,Raw Materials
ABS-KUMHO 750NSW,ABS- KUMHO,AG-00001,Raw Materials
ACRYLIC IF850,ACRYLIC IF850,AG-00001,Raw Materials
AKROMID A3 1 BLACK PA66,AKROMID A3 1 BLACK PA66,AG-00001,Raw Materials
ALC red masterbatch,Masterbatch,AG-00001,Raw Materials
AMODEL 1133 HS NAT,AMODEL 1133 HS NAT,AG-00001,Raw Materials
ARNITE TV6 240 PBT-GF20,PBT-GF20,AG-00001,Raw Materials
BAYBLEND FR2010 NAT,PCABS,AG-00001,Raw Materials
BLACK M/BTCH ACETAL UN0055,BLACK M/BTCH ACETAL UN0055,AG-00001,Raw Materials
BLOWING AGENT HP78810/20TR-D,MASTER BATCH,AG-00001,Raw Materials
BLUE HCM26508P,MASTER BATCH,AG-00001,Raw Materials
BOREALIS 420M,PP,AG-00001,Raw Materials
C 9021,POM,AG-00001,Raw Materials
c 9021 Grey,Hostaform,AG-00001,Raw Materials
C131 ABS WHITE 2097,C131 ABS WHITE 2097,AG-00001,Raw Materials
Capilene SR50,PPCP MFI 12 NAT,AG-00001,Raw Materials
CAWITON PR12451,EVA,AG-00001,Raw Materials
DEL 107 NC10,DEL 107 NC10,AG-00001,Raw Materials
DEL525 GR NC,POM,AG-00001,Raw Materials
DELRIN 500P BK-602,DELRIN 500P BK-602,AG-00001,Raw Materials
DRYFLEX A1 600701,TPE,AG-00001,Raw Materials
ELASTOLLAN C90A55000 NAT,TPU,AG-00001,Raw Materials
ELTEX TUB121N3000,ELTEX TUB121N3000,AG-00001,Raw Materials
ELVAX 450 NC10,EVA,AG-00001,Raw Materials
FZ-2140-D9,PPS,AG-00001,Raw Materials
GREEN M/BATCH 60915NF,GREEN M/BATCH 60915NF,AG-00001,Raw Materials
Greenflex ML50,Greenflex ML50,AG-00001,Raw Materials
GRIVORY GTR45,NYLON 6,AG-00001,Raw Materials
HCM18800P UV STABILISER,MASTER BATCH,AG-00001,Raw Materials
HOSTALEN CRP 100 BLACK,HOSTALEN,AG-00001,Raw Materials
HOSTALEN GC 7260 LS (HDPE),HDPE,AG-00001,Raw Materials
HOSTALEN GF4750 NAT,HDPE,AG-00001,Raw Materials
HOSTALEN H7350FLS 303064,PP,AG-00001,Raw Materials
HOSTALEN PPH2150,Hostalen,AG-00001,Raw Materials
HOSTALEN PPH7350,PP,AG-00001,Raw Materials
IUPITAL F10-02 NAT MFI,POM,AG-00001,Raw Materials
KEPITAL F20-03,POM,AG-00001,Raw Materials
LARIPUR 4625,TPU,AG-00001,Raw Materials
LDPE LUPOLEN 1800S,LDPE,AG-00001,Raw Materials
LEXAN 143R NATURAL 111,PC,AG-00001,Raw Materials
LEXAN 500R NAT,PCABS,AG-00001,Raw Materials
LG-ABS HI100 BLACK,ABS,AG-00001,Raw Materials
MABS57612 Grey,Grey Masterbatch,AG-00001,Raw Materials
MOPLEN HP500N,MOPLEN HP500N,AG-00001,Raw Materials
MOPLEN HP501H,PP,AG-00001,Raw Materials
NYL 6 BN200AS2,NYL 6 BN200AS2,AG-00001,Raw Materials
NYLON 6 PB507 BK31,NYLON PA6,AG-00001,Raw Materials
NYLON PA66 4MID PA20000 ANL3,NYLON PA66,AG-00001,Raw Materials
OBIFORM M95NC,POM,AG-00001,Raw Materials
P-RAM PZ726NT,P-RAM PZ726NT,AG-00001,Raw Materials
P/PROP R959A,Tiplen NAT,AG-00001,Raw Materials
PA1261/111034 STABILISER,PA1261/111034 STABILISER,AG-00001,Raw Materials
PA301G3 GF15,PA301G3 GF15,AG-00001,Raw Materials
PA301G3 GF15 NAT,NYLON 6,AG-00001,Raw Materials
PA6 30GF GREY (HAPPICH),NYLON 6,AG-00001,Raw Materials
PA6GF30 BLACK STABILIZED,NYLON PA6,AG-00001,Raw Materials
PC-ABS CYCOLOY C2950,PC-ABS CYCOLOY C2950,AG-00001,Raw Materials
PLEXIGLAS 6N,PMMA,AG-00001,Raw Materials
POLY CLEAR,POLY,AG-00001,Raw Materials
POLYCARBONATE BLACK PZ726BK,POLYCARBONATE BLACK PZ726BK,AG-00001,Raw Materials
PP - 451 HP40,PP - Rigidex 451-HP40,AG-00001,Raw Materials
PUG 190 ABE,,AG-00001,Raw Materials
PVC BS63 BLK,PVC,AG-00001,Raw Materials
RADILON AHSK 372M BLK,RADILON AHSK 372M BLK,AG-00001,Raw Materials
RAVAMID BGF30 BK45 NG,NYLON 6,AG-00001,Raw Materials
RAVAMID BGF30 BK45 NG UV,RAVAMID BGF30 BK45 NG UV,AG-00001,Raw Materials
RAVATHANE 130 A95 SM,RAVATHANE 130 A95 SM,AG-00001,Raw Materials
RED M/BTCH 4923/3 NF,MASTER BATCH,AG-00001,Raw Materials
RIBLENE MP30,RIBLENE MP30,AG-00001,Raw Materials
RYTON R4 NAT,PPS,AG-00001,Raw Materials
Ryton R4220 BK,PPS,AG-00001,Raw Materials
STYRENE NAT MFI 12,STYRENE NAT MFI 12,AG-00001,Raw Materials
TECHNYL A216 V30 NC,NYLON PA66,AG-00001,Raw Materials
THERMOLAST K TF2ATL,TPE,AG-00001,Raw Materials
TPE MULTIBASE G80 A11BZ1697 NT,TPE,AG-00001,Raw Materials
TRIREX 3020U PC,PC,AG-00001,Raw Materials
ULTRAMID A3W G6 BLACK 00564,NYLON 6,AG-00001,Raw Materials
ULTRAMID A3WG6 NAT,ULTRAMID A3WG6 NAT,AG-00001,Raw Materials
VAMPLEN 0024 V2 LBC GW,VAMPLEN 0024 V2 LBC GW,AG-00001,Raw Materials
WELLAMID 6600GV30HWCP BLK S-03,NYLON PA6,AG-00001,Raw Materials
WHITE DYE NYL HC44036,MASTER BATCH,AG-00001,Raw Materials
ZYT 103HSL NC10,ZYT 103HSL NC10,AG-00001,Raw Materials
ZYT 801ST NC010A,NYLON PA66,AG-00001,Raw Materials
ZYT70G30HSL BK 039,ZYT70G30HSL BK 039,AG-00001,Raw Materials
ZYT70G30HSLR BK,NYLON PA6,AG-00001,Raw Materials
ZYTEL 79G13 HSL NC010,NYLON 6,AG-00001,Raw Materials
ZYTEL HTN BLK 35 GF,ZYTEL HTN BLK 35 GF,AG-00001,Raw Materials
ZYTHTN 51G45HSL BK083,ZYTHTN 51G45HSL BK083,AG-00001,Raw Materials
ZYTHTN51G35HSLR,ZYTHTN51G35HSLR,AG-00001,Raw Materials
043109 Carton,392X280X600MM 150DW 0201G CARTON,AG-00006,Packaging
047932,P/H Plain box,AG-00006,Packaging
101030,300mm x 75mm Corrugated roll,AG-00006,Packaging
195-polybag-pbag004,15 x 20 (120g),AG-00006,Packaging
201037,14x10x6 sw box,AG-00006,Packaging
24300,Carton 480 x 480 x 520 Type 2,AG-00006,Packaging
24301,Carton 560 x 450 x 500 Type 3,AG-00006,Packaging
24302,Carton 560 x 430 x 555 Type 4,AG-00006,Packaging
45222 Large Lid,1200 X 800 X 80 SW0452 Cap,AG-00006,Packaging
502016,15x20 for Agd,AG-00006,Packaging
518120,500mm x 300mm 537S Heavy Cast Palletwrap Plus (6/box),AG-00006,Packaging
Box 586x388x306mm,Gem boxes,AG-00006,Packaging
PB1015250G,Poly Bag 1015 250g,AG-00006,Packaging
PB1015350G,POLYBAG 10/15 250G/1000,AG-00006,Packaging
27503009,Cap Grey,AG-00022,Obsolete Part
602K1636-001G,Small Recessed Grip-Grey,AG-00022,Obsolete Part
602K1636-003G,Cover Cap-Grey,AG-00022,Obsolete Part
6V03201621/1,ASTIC Slider,AG-00022,Obsolete Part
720162902,Con Trap Assy - German,AG-00022,Obsolete Part
7559Q0145,LOWER COWL RAIL,AG-00022,Obsolete Part
7905Q0152,Spacer,AG-00022,Obsolete Part
7905Q0202,Liner Slot,AG-00022,Obsolete Part
8375Q0338,Spacer,AG-00022,Obsolete Part
8375Q0521,Spacer,AG-00022,Obsolete Part
8716-141-194,Plug Flow Connector,AG-00022,Obsolete Part
87575,CUP FILLER,AG-00022,Obsolete Part
9A000124,Flight Tube Cap,AG-00022,Obsolete Part
D2467/01,Drain Slot Plug,AG-00022,Obsolete Part
Lexan 943A Natural 110,Lexan,AG-00022,Obsolete Part
RAVATHANE 130 A95 C,TPU,AG-00022,Obsolete Part
V1-00373,Vivapure 8 Strip,AG-00022,Obsolete Part
029-TR-2-M5,Spare Thrust Bearing M5+M6 Tappex,AG-00010,Mouldshop Machine Spares
029EM5-01,Complete Driver M5 Tappex,AG-00010,Mouldshop Machine Spares
029EM6-01,Complete Driver M6 Tappex,AG-00010,Mouldshop Machine Spares
029L2M5,Spare Stud Drive M5 Tappex,AG-00010,Mouldshop Machine Spares
029LM6,Spare Stud Drive M6 Tappex,AG-00010,Mouldshop Machine Spares
100-063-357,Mylar Washers (Sonic Welder),AG-00010,Mouldshop Machine Spares
101-135-059,Coverter Model CJ 20,AG-00010,Mouldshop Machine Spares
103070,Arburg 200 M/C 3 = Clamp D=147,AG-00010,Mouldshop Machine Spares
103414,Arburg 200 M/C 3 = Clamp D=147,AG-00010,Mouldshop Machine Spares
104133,"Arburg 150 M/C 2 Compression Spring D=9,2 L=200",AG-00010,Mouldshop Machine Spares
104145,Arburg 200 M/C 3 = Insulation pad 140x620,AG-00010,Mouldshop Machine Spares
105644,Arburg 150 M/C 2 Insulation Pad 170x560,AG-00010,Mouldshop Machine Spares
105645,Arburg 150 M/C 2 Clamp D=122,AG-00010,Mouldshop Machine Spares
107591,M/C 9 Main Heater Band 220v-240v 900w,AG-00010,Mouldshop Machine Spares
111021,Arburg 150 M/C 2 Nozzle heater band 600W D=60,AG-00010,Mouldshop Machine Spares
114-1843,"CR2430 lithium coin cell, 3V 280mAh NB 165 Machine 4",AG-00010,Mouldshop Machine Spares
114-8333,"Han(R) E 24P+E skt insert, 16A 400-500Vac (Female)",AG-00010,Mouldshop Machine Spares
124.4.038.45,Joint Rotex type:38/45-AL-D-42-35,AG-00010,Mouldshop Machine Spares
12425,Arburg 200 M/C 3 = Cylinder pin D=12 L=50,AG-00010,Mouldshop Machine Spares
124404845,Rotex 42 Motor Coupling (NB 210 v) 116-163,AG-00010,Mouldshop Machine Spares
125341,Switch Cam,AG-00010,Mouldshop Machine Spares
125342,Switch Cam,AG-00010,Mouldshop Machine Spares
12769,Graduated tube (for Arburg cooling water manifold),AG-00010,Mouldshop Machine Spares
132704,Arburg 200 M/C 3 semi-conductor relay 25A/460v,AG-00010,Mouldshop Machine Spares
1330-14X100,Straight Clamp with support hole,AG-00010,Mouldshop Machine Spares
14.588,"2/2 Magnetic directional valve 3/8""",AG-00010,Mouldshop Machine Spares
14.594,Angle,AG-00010,Mouldshop Machine Spares
14.599,"Hose pipe N-3/8"" p-6",AG-00010,Mouldshop Machine Spares
141.018,Arburg Screw Tip 25mm M/C 9,AG-00010,Mouldshop Machine Spares
141.019,Arburg Bushing 25mm M/C 9,AG-00010,Mouldshop Machine Spares
141.02,Arburg Seat Ring M/C 9,AG-00010,Mouldshop Machine Spares
143062,Socket 3 Poles and earth rectang,AG-00010,Mouldshop Machine Spares
161.564,Plug Connector 7 Pin L=300,AG-00010,Mouldshop Machine Spares
161.565,Plug Connector 6 Pin L=3000,AG-00010,Mouldshop Machine Spares
16309,Silicone rubber dyes with countersunk fixing holes,AG-00010,Mouldshop Machine Spares
188-6956,"Type gG fuse,2A 500V 10 x 38mm",AG-00010,Mouldshop Machine Spares
188.6827,"Very quick acting FA fuse, 16A 6.3x32mm",AG-00010,Mouldshop Machine Spares
190857,"Arburg 200 M/C 3 = Nozzle heater band with thermocouple, leng",AG-00010,Mouldshop Machine Spares
192.54,Arburg Bushing 40mm M/C 7,AG-00010,Mouldshop Machine Spares
192.996,Arburg Seat Ring 40mm M/C 7,AG-00010,Mouldshop Machine Spares
192540,Arburg 150 M/C 2 Bushing D=40 L=33,AG-00010,Mouldshop Machine Spares
192996,Arburg 150 M/C 2 Seat ring 40,AG-00010,Mouldshop Machine Spares
193375,"Arburg 200 M/C 3 = Bushing D=50 L41,5",AG-00010,Mouldshop Machine Spares
193377,Arburg 200 M/C 3 = Seat Ring 50,AG-00010,Mouldshop Machine Spares
193382,Arburg Screw 40mm L=698 (Arburg 138624 M/C 7),AG-00010,Mouldshop Machine Spares
195600,Arburg 200 M/C 3 = Clamping ring D=150 M122x4,AG-00010,Mouldshop Machine Spares
199176,2DD Disk Drive (Machine S/N 139636),AG-00010,Mouldshop Machine Spares
200176,Arburg 200 M/C 3 Filter insert D=80 L=268,AG-00010,Mouldshop Machine Spares
203392,50mm extended nozzle tip for Arburg M/C 2 + 3,AG-00010,Mouldshop Machine Spares
206.274,Arburg Screw Tip 40mm M/C 7,AG-00010,Mouldshop Machine Spares
206237,"Arburg 200 M/C 3 = Ribbed screw tip D=50 L=116,5",AG-00010,Mouldshop Machine Spares
206274,"Arburg 150 M/C 2 Ribbed Screw Tip D=40 L=100,9",AG-00010,Mouldshop Machine Spares
208174,Arburg 200 M/C 3= Heater element half shell 1500w,AG-00010,Mouldshop Machine Spares
21691,Rubber Metal Stopper DA30 H20 (Arburg Under Trays)M/C 7+8,AG-00010,Mouldshop Machine Spares
21KATF06MPN,Hose Tail Coupling air lines series 21 6mm id,AG-00010,Mouldshop Machine Spares
21SFTF06MXN,Hose Tail Plug air lines series 21 6mm id,AG-00010,Mouldshop Machine Spares
221-342,Fan filter unit for 120x120mm frame,AG-00010,Mouldshop Machine Spares
226,Washer,AG-00010,Mouldshop Machine Spares
229121,m/c 9 Nozzle Thermocouple was part no. type L form B L=450,AG-00010,Mouldshop Machine Spares
233-124,"Multipurpose cable tie pack, qty 650",AG-00010,Mouldshop Machine Spares
2350,Gas Cartridges 350g (Butane / Propane Mix Cartridge),AG-00010,Mouldshop Machine Spares
237-5362,SPDT PCB Power Relay 8 A 12vdc coil (Omron G6RN-1),AG-00010,Mouldshop Machine Spares
242176,Arburg 200 M/C3 = Heat Conducting metal sheet D=150,AG-00010,Mouldshop Machine Spares
243-0166,"Reinforced PVC hose, Clear 15m L 25mm ID",AG-00010,Mouldshop Machine Spares
247316,Arburg 200 M/C3 = Nozzle heater band 1250w D=152,AG-00010,Mouldshop Machine Spares
2508418626,"HEAT SINK, 30A, 24-265 VAC/DC(Mfr. Part No. RNA48A30)",AG-00010,Mouldshop Machine Spares
464-6183,Blue Cable Mount Male 3P Straight Industrial Power Plug Rate,AG-00010,Mouldshop Machine Spares
513-2540,Bootlace Ferrule kit.0.5-2.5mm sq cable,AG-00010,Mouldshop Machine Spares
753-3396,Belkin USB 2.0 Universal Media Reader (Arburg 150/200),AG-00010,Mouldshop Machine Spares
N40210176500,Temposonics Transducer (NB 70) Carriage + Injection,AG-00010,Mouldshop Machine Spares
N50260131250,Suction filter NB 270,AG-00010,Mouldshop Machine Spares
N50260353310,Pressure Filter NB 270,AG-00010,Mouldshop Machine Spares
010119-A1,Pencil Crate Body,AG-00003,Finished Goods
010119-A2,Generic Drawer,AG-00003,Finished Goods
027502509,CapBlack,AG-00003,Finished Goods
027506009/A,Spring Housing - Mould,AG-00003,Finished Goods
027506309,Piston,AG-00003,Finished Goods
027506309/B,Piston-Punch,AG-00003,Finished Goods
027512809,Reservoir Seat,AG-00003,Finished Goods
050715AV-PURCH,AF050715A032,AG-00003,Finished Goods
050715R-PURCH,AFLMF2020001 LMF-202 050715R,AG-00003,Finished Goods
1/25214 - P/019361/1,Knob,AG-00003,Finished Goods
1000074271,Vivaflow 50 Fill tray,AG-00003,Finished Goods
1005,Midi Plug,AG-00003,Finished Goods
1006,Midi Piston,AG-00003,Finished Goods
1021,Mini Top Cap,AG-00003,Finished Goods
1023,Mini Piston,AG-00003,Finished Goods
1024,Mini Spin Column Barrell,AG-00003,Finished Goods
1025,Mini Plug Body,AG-00003,Finished Goods
105874,Spacer,AG-00003,Finished Goods
106262,Spacer Retainer,AG-00003,Finished Goods
106409,Seal Holder,AG-00003,Finished Goods
106761,Washer,AG-00003,Finished Goods
187-019-1834,Mounting Plate,AG-00003,Finished Goods
187-076-2606,Backing Ring,AG-00003,Finished Goods
187-078-2606,Backing Ring,AG-00003,Finished Goods
190-266-1721,Spacer,AG-00003,Finished Goods
190-285-1748,Bung,AG-00003,Finished Goods
190-290-1748,Bung,AG-00003,Finished Goods
190-294-1748,Seal,AG-00003,Finished Goods
190-300-1748,Seals,AG-00003,Finished Goods
197-134-1721,Spacer,AG-00003,Finished Goods
197-374-1834,Multiple Tie Plate,AG-00003,Finished Goods
197-568-1721,Retainer,AG-00003,Finished Goods
197-779-1982,Piston,AG-00003,Finished Goods
197-780-1982,Cap End,AG-00003,Finished Goods
197-794-2606,Reed Switch,AG-00003,Finished Goods
197-815-1855,Cover,AG-00003,Finished Goods
197-948-1748,Protection Plug,AG-00003,Finished Goods
240481,Manifold Plate,AG-00003,Finished Goods
